=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen_step1600.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  24.9 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
 S3b |   4.5 | 20.42 | 0.0821 (L 0.0762/R 0.0881) | 0.1358 | 0.01358 | 0.1380 | 0.02244
 S1b |   3.8 | 20.56 | 0.1162 (L 0.1187/R 0.1137) | 0.1768 | 0.01062 | 0.1649 | 0.01159

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |  S3b | -0.1932 ± 0.5668 |  30.0% | 0.022
  PSNR |  S1b | -0.0619 ± 0.7803 |  55.0% | 0.717
AbsRel |  S3b | +0.0157 ± 0.0210 |  22.5% | 0.000
AbsRel |  S1b | +0.0498 ± 0.0230 |   0.0% | 0.000
 LPIPS |  S3b | +0.0179 ± 0.0090 |   2.5% | 0.000
 LPIPS |  S1b | +0.0589 ± 0.0157 |   0.0% | 0.000
 sharp |  S3b | +0.0002 ± 0.0009 |  52.5% | 0.687
 sharp |  S1b | -0.0028 ± 0.0013 |   0.0% | 0.000
    CV |  S3b | -0.0314 ± 0.0509 |  65.0% | 0.017
    CV |  S1b | -0.0045 ± 0.0357 |  60.0% | 0.430
   div |  S3b | -0.0003 ± 0.0027 |  50.0% | 1.000
   div |  S1b | -0.0111 ± 0.0022 |   0.0% | 0.031

[샘플별 AbsRel] batch/view | T25 | S3b | S1b
0/l | 0.068 | 0.091 | 0.146
0/r | 0.094 | 0.117 | 0.134
1/l | 0.133 | 0.125 | 0.189
1/r | 0.035 | 0.058 | 0.120
2/l | 0.173 | 0.133 | 0.186
2/r | 0.067 | 0.072 | 0.093
3/l | 0.049 | 0.099 | 0.143
3/r | 0.079 | 0.136 | 0.156
4/l | 0.064 | 0.072 | 0.127
4/r | 0.076 | 0.105 | 0.112
5/l | 0.049 | 0.059 | 0.097
5/r | 0.073 | 0.063 | 0.079
6/l | 0.101 | 0.083 | 0.162
6/r | 0.055 | 0.089 | 0.144
7/l | 0.050 | 0.071 | 0.101
7/r | 0.066 | 0.083 | 0.074
8/l | 0.070 | 0.069 | 0.119
8/r | 0.047 | 0.053 | 0.089
9/l | 0.047 | 0.075 | 0.113
9/r | 0.053 | 0.084 | 0.136
10/l | 0.046 | 0.057 | 0.088
10/r | 0.038 | 0.093 | 0.117
11/l | 0.091 | 0.107 | 0.124
11/r | 0.100 | 0.168 | 0.178
12/l | 0.037 | 0.050 | 0.084
12/r | 0.071 | 0.069 | 0.102
13/l | 0.039 | 0.052 | 0.085
13/r | 0.047 | 0.053 | 0.076
14/l | 0.067 | 0.091 | 0.145
14/r | 0.086 | 0.111 | 0.160
15/l | 0.044 | 0.055 | 0.090
15/r | 0.079 | 0.082 | 0.109
16/l | 0.046 | 0.063 | 0.092
16/r | 0.072 | 0.070 | 0.090
17/l | 0.046 | 0.057 | 0.094
17/r | 0.072 | 0.081 | 0.096
18/l | 0.060 | 0.058 | 0.093
18/r | 0.032 | 0.081 | 0.102
19/l | 0.066 | 0.055 | 0.098
19/r | 0.068 | 0.093 | 0.108

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
