run,task,config,batch,view,frame,grip_cent_m
policy_proxy_6e3200,apple,T25,0,left,1,0.1906743049621582
policy_proxy_6e3200,apple,T25,0,left,2,0.2300361841917038
policy_proxy_6e3200,apple,T25,0,left,3,0.2921375036239624
policy_proxy_6e3200,apple,T25,0,left,4,0.29738569259643555
policy_proxy_6e3200,apple,T25,0,left,5,0.21504580974578857
policy_proxy_6e3200,apple,T25,0,left,6,0.13570553064346313
policy_proxy_6e3200,apple,T25,0,left,7,0.06879213452339172
policy_proxy_6e3200,apple,T25,0,left,8,0.04900730773806572
policy_proxy_6e3200,apple,T25,0,left,9,0.06890643388032913
policy_proxy_6e3200,apple,T25,0,left,10,0.15700240433216095
policy_proxy_6e3200,apple,T25,0,right,1,0.2533358335494995
policy_proxy_6e3200,apple,T25,0,right,2,0.4545450508594513
policy_proxy_6e3200,apple,T25,0,right,3,0.6371238827705383
policy_proxy_6e3200,apple,T25,0,right,4,0.6003461480140686
policy_proxy_6e3200,apple,T25,0,right,5,0.531287431716919
policy_proxy_6e3200,apple,T25,0,right,6,0.4572240114212036
policy_proxy_6e3200,apple,T25,0,right,7,0.36226922273635864
policy_proxy_6e3200,apple,T25,0,right,8,0.3527222275733948
policy_proxy_6e3200,apple,T25,0,right,9,0.34322333335876465
policy_proxy_6e3200,apple,T25,0,right,10,0.3351922035217285
policy_proxy_6e3200,apple,T25,1,left,1,0.02757370099425316
policy_proxy_6e3200,apple,T25,1,left,2,0.028957948088645935
policy_proxy_6e3200,apple,T25,1,left,3,0.02474936656653881
policy_proxy_6e3200,apple,T25,1,left,4,0.018872302025556564
policy_proxy_6e3200,apple,T25,1,left,5,0.10207114368677139
policy_proxy_6e3200,apple,T25,1,left,6,0.14408405125141144
policy_proxy_6e3200,apple,T25,1,left,7,0.446778267621994
policy_proxy_6e3200,apple,T25,1,left,8,0.31941431760787964
policy_proxy_6e3200,apple,T25,1,left,9,0.08277077972888947
policy_proxy_6e3200,apple,T25,1,left,10,0.17534713447093964
policy_proxy_6e3200,apple,T25,1,right,1,0.0344071164727211
policy_proxy_6e3200,apple,T25,1,right,2,0.03211487457156181
policy_proxy_6e3200,apple,T25,1,right,3,0.03857140615582466
policy_proxy_6e3200,apple,T25,1,right,4,0.057262398302555084
policy_proxy_6e3200,apple,T25,1,right,5,0.23616009950637817
policy_proxy_6e3200,apple,T25,1,right,6,0.17707842588424683
policy_proxy_6e3200,apple,T25,1,right,7,0.012794670648872852
policy_proxy_6e3200,apple,T25,1,right,8,0.05848802626132965
policy_proxy_6e3200,apple,T25,1,right,9,0.21592341363430023
policy_proxy_6e3200,apple,T25,1,right,10,0.2827540338039398
policy_proxy_6e3200,apple,T25,2,left,1,0.08287936449050903
policy_proxy_6e3200,apple,T25,2,left,2,0.11119261384010315
policy_proxy_6e3200,apple,T25,2,left,3,0.24654614925384521
policy_proxy_6e3200,apple,T25,2,left,4,0.18140456080436707
policy_proxy_6e3200,apple,T25,2,left,5,0.19636663794517517
policy_proxy_6e3200,apple,T25,2,left,6,0.38523662090301514
policy_proxy_6e3200,apple,T25,2,left,7,0.1945965588092804
policy_proxy_6e3200,apple,T25,2,left,8,0.4100106358528137
policy_proxy_6e3200,apple,T25,2,left,9,0.290005087852478
policy_proxy_6e3200,apple,T25,2,left,10,0.06812281906604767
policy_proxy_6e3200,apple,T25,2,right,1,0.05345618724822998
policy_proxy_6e3200,apple,T25,2,right,2,0.02716122567653656
policy_proxy_6e3200,apple,T25,2,right,3,0.08544076979160309
policy_proxy_6e3200,apple,T25,2,right,4,0.3333682119846344
policy_proxy_6e3200,apple,T25,2,right,5,0.2089570164680481
policy_proxy_6e3200,apple,T25,2,right,6,0.09691930562257767
policy_proxy_6e3200,apple,T25,2,right,7,0.035214781761169434
policy_proxy_6e3200,apple,T25,2,right,8,0.09247477352619171
policy_proxy_6e3200,apple,T25,2,right,9,0.1920681595802307
policy_proxy_6e3200,apple,T25,2,right,10,0.18607297539710999
policy_proxy_6e3200,apple,T25,3,left,1,0.01643199287354946
policy_proxy_6e3200,apple,T25,3,left,2,0.02557998336851597
policy_proxy_6e3200,apple,T25,3,left,3,0.02523544430732727
policy_proxy_6e3200,apple,T25,3,left,4,0.00903957337141037
policy_proxy_6e3200,apple,T25,3,left,5,0.0314241498708725
policy_proxy_6e3200,apple,T25,3,left,6,0.04373579099774361
policy_proxy_6e3200,apple,T25,3,left,7,0.03184805437922478
policy_proxy_6e3200,apple,T25,3,left,8,0.007838069461286068
policy_proxy_6e3200,apple,T25,3,left,9,0.13949747383594513
policy_proxy_6e3200,apple,T25,3,left,10,0.2340971976518631
policy_proxy_6e3200,apple,T25,3,right,1,0.050059981644153595
policy_proxy_6e3200,apple,T25,3,right,2,0.037215907126665115
policy_proxy_6e3200,apple,T25,3,right,3,0.0543389692902565
policy_proxy_6e3200,apple,T25,3,right,4,0.03905043378472328
policy_proxy_6e3200,apple,T25,3,right,5,0.031999342143535614
policy_proxy_6e3200,apple,T25,3,right,6,0.0377255342900753
policy_proxy_6e3200,apple,T25,3,right,7,0.03426787257194519
policy_proxy_6e3200,apple,T25,3,right,8,0.040888216346502304
policy_proxy_6e3200,apple,T25,3,right,9,0.0656290352344513
policy_proxy_6e3200,apple,T25,3,right,10,0.052972014993429184
policy_proxy_6e3200,apple,T25,4,left,1,0.09374075382947922
policy_proxy_6e3200,apple,T25,4,left,2,0.13400697708129883
policy_proxy_6e3200,apple,T25,4,left,3,0.11598679423332214
policy_proxy_6e3200,apple,T25,4,left,4,0.07933825254440308
policy_proxy_6e3200,apple,T25,4,left,5,0.025689058005809784
policy_proxy_6e3200,apple,T25,4,left,6,0.1028013527393341
policy_proxy_6e3200,apple,T25,4,left,7,0.3257356882095337
policy_proxy_6e3200,apple,T25,4,left,8,0.3007640540599823
policy_proxy_6e3200,apple,T25,4,left,9,0.2800299823284149
policy_proxy_6e3200,apple,T25,4,left,10,0.30803850293159485
policy_proxy_6e3200,apple,T25,4,right,1,0.0692523717880249
policy_proxy_6e3200,apple,T25,4,right,2,0.2148067206144333
policy_proxy_6e3200,apple,T25,4,right,3,0.38380032777786255
policy_proxy_6e3200,apple,T25,4,right,4,0.1484287530183792
policy_proxy_6e3200,apple,T25,4,right,5,0.3517981171607971
policy_proxy_6e3200,apple,T25,4,right,6,0.23685762286186218
policy_proxy_6e3200,apple,T25,4,right,7,0.0652952715754509
policy_proxy_6e3200,apple,T25,4,right,8,0.1597111076116562
policy_proxy_6e3200,apple,T25,4,right,9,0.12902367115020752
policy_proxy_6e3200,apple,T25,4,right,10,0.13470537960529327
policy_proxy_6e3200,apple,T25,5,left,1,0.051203083246946335
policy_proxy_6e3200,apple,T25,5,left,2,0.17197489738464355
policy_proxy_6e3200,apple,T25,5,left,3,0.02982890047132969
policy_proxy_6e3200,apple,T25,5,left,4,0.024543726816773415
policy_proxy_6e3200,apple,T25,5,left,5,0.026511026546359062
policy_proxy_6e3200,apple,T25,5,left,6,0.1297638714313507
policy_proxy_6e3200,apple,T25,5,left,7,0.16859737038612366
policy_proxy_6e3200,apple,T25,5,left,8,0.08629940450191498
policy_proxy_6e3200,apple,T25,5,left,9,0.07750844955444336
policy_proxy_6e3200,apple,T25,5,left,10,0.04175170511007309
policy_proxy_6e3200,apple,T25,5,right,1,0.06210050731897354
policy_proxy_6e3200,apple,T25,5,right,2,0.07465991377830505
policy_proxy_6e3200,apple,T25,5,right,3,0.033115580677986145
policy_proxy_6e3200,apple,T25,5,right,4,0.07623361051082611
policy_proxy_6e3200,apple,T25,5,right,5,0.039228081703186035
policy_proxy_6e3200,apple,T25,5,right,6,0.15009281039237976
policy_proxy_6e3200,apple,T25,5,right,7,0.16643314063549042
policy_proxy_6e3200,apple,T25,5,right,8,0.12468474358320236
policy_proxy_6e3200,apple,T25,5,right,9,0.07636360079050064
policy_proxy_6e3200,apple,T25,5,right,10,0.06736284494400024
policy_proxy_6e3200,apple,T25,6,left,1,0.05497029051184654
policy_proxy_6e3200,apple,T25,6,left,2,0.06386105716228485
policy_proxy_6e3200,apple,T25,6,left,3,0.1576598435640335
policy_proxy_6e3200,apple,T25,6,left,4,0.29689541459083557
policy_proxy_6e3200,apple,T25,6,left,5,0.49056366086006165
policy_proxy_6e3200,apple,T25,6,left,6,0.26326149702072144
policy_proxy_6e3200,apple,T25,6,left,7,0.3532303273677826
policy_proxy_6e3200,apple,T25,6,left,8,0.2726827561855316
policy_proxy_6e3200,apple,T25,6,left,9,0.07207243889570236
policy_proxy_6e3200,apple,T25,6,left,10,0.08066090941429138
policy_proxy_6e3200,apple,T25,6,right,1,0.045440077781677246
policy_proxy_6e3200,apple,T25,6,right,2,0.05880418047308922
policy_proxy_6e3200,apple,T25,6,right,3,0.056541383266448975
policy_proxy_6e3200,apple,T25,6,right,4,0.08172117173671722
policy_proxy_6e3200,apple,T25,6,right,5,0.08206526190042496
policy_proxy_6e3200,apple,T25,6,right,6,0.20122574269771576
policy_proxy_6e3200,apple,T25,6,right,7,0.2708990275859833
policy_proxy_6e3200,apple,T25,6,right,8,0.3162497878074646
policy_proxy_6e3200,apple,T25,6,right,9,0.1015506237745285
policy_proxy_6e3200,apple,T25,6,right,10,0.12962782382965088
policy_proxy_6e3200,apple,T25,7,left,1,0.06259684264659882
policy_proxy_6e3200,apple,T25,7,left,2,0.14543282985687256
policy_proxy_6e3200,apple,T25,7,left,3,0.0962347686290741
policy_proxy_6e3200,apple,T25,7,left,4,0.15168079733848572
policy_proxy_6e3200,apple,T25,7,left,5,0.11182247847318649
policy_proxy_6e3200,apple,T25,7,left,6,0.11299806833267212
policy_proxy_6e3200,apple,T25,7,left,7,0.0625699907541275
policy_proxy_6e3200,apple,T25,7,left,8,0.0893206000328064
policy_proxy_6e3200,apple,T25,7,left,9,0.0667182132601738
policy_proxy_6e3200,apple,T25,7,left,10,0.08549059927463531
policy_proxy_6e3200,apple,T25,7,right,1,0.3788527548313141
policy_proxy_6e3200,apple,T25,7,right,2,0.3487453758716583
policy_proxy_6e3200,apple,T25,7,right,3,0.1051110029220581
policy_proxy_6e3200,apple,T25,7,right,4,0.08803676813840866
policy_proxy_6e3200,apple,T25,7,right,5,0.1526620090007782
policy_proxy_6e3200,apple,T25,7,right,6,0.16418741643428802
policy_proxy_6e3200,apple,T25,7,right,7,0.1067584976553917
policy_proxy_6e3200,apple,T25,7,right,8,0.1495257019996643
policy_proxy_6e3200,apple,T25,7,right,9,0.21185940504074097
policy_proxy_6e3200,apple,T25,7,right,10,0.3085532486438751
policy_proxy_6e3200,apple,T25,8,left,1,0.04095057025551796
policy_proxy_6e3200,apple,T25,8,left,2,0.06681261956691742
policy_proxy_6e3200,apple,T25,8,left,3,0.021818717941641808
policy_proxy_6e3200,apple,T25,8,left,4,0.08895643055438995
policy_proxy_6e3200,apple,T25,8,left,5,0.07024473696947098
policy_proxy_6e3200,apple,T25,8,left,6,0.028460437431931496
policy_proxy_6e3200,apple,T25,8,left,7,0.01450820080935955
policy_proxy_6e3200,apple,T25,8,left,8,0.013525759801268578
policy_proxy_6e3200,apple,T25,8,left,9,0.003399519482627511
policy_proxy_6e3200,apple,T25,8,left,10,0.013276669196784496
policy_proxy_6e3200,apple,T25,8,right,1,0.06926553696393967
policy_proxy_6e3200,apple,T25,8,right,2,0.05004475265741348
policy_proxy_6e3200,apple,T25,8,right,3,0.13380970060825348
policy_proxy_6e3200,apple,T25,8,right,4,0.10148786008358002
policy_proxy_6e3200,apple,T25,8,right,5,0.12691563367843628
policy_proxy_6e3200,apple,T25,8,right,6,0.08016309142112732
policy_proxy_6e3200,apple,T25,8,right,7,0.0786241739988327
